U00000000	0.177778	0.180000	0.580336
U00000001	0.255556	0.080000	0.056746
U00000002	0.211111	0.180000	0.201826
U00000003	0.233333	0.420000	1.000000
U00000004	0.255556	0.080000	0.000000
U00000005	0.311111	0.040000	0.000000
U00000006	0.300000	0.260000	0.051058
U00000007	0.233333	0.080000	0.000000
U00000008	0.277778	0.040000	0.000000
U00000009	0.322222	0.020000	0.039938
U00000010	0.277778	0.040000	0.000000
U00000011	0.311111	0.020000	0.000000
U00000012	0.255556	0.080000	0.000000
U00000013	0.155556	0.500000	1.000000
U00000014	0.211111	0.380000	1.000000
U00000015	0.366667	0.280000	0.016056
U00000016	0.233333	0.060000	0.000000
U00000017	0.277778	0.040000	0.009054
U00000018	0.233333	0.280000	0.212668
U00000019	0.322222	0.060000	0.000000
U00000020	0.211111	0.200000	0.263376
U00000021	0.188889	0.220000	0.365614
U00000022	0.255556	0.300000	0.417292
U00000023	0.311111	0.020000	0.000000
U00000024	0.244444	0.320000	1.000000
U00000025	0.266667	0.040000	0.000000
U00000026	0.255556	0.400000	1.000000
U00000027	0.188889	0.380000	0.167192
U00000028	0.111111	0.320000	0.655296
U00000029	0.255556	0.080000	0.002620
U00000030	0.111111	0.260000	0.288942
U00000031	0.233333	0.440000	0.761932
U00000032	0.222222	0.320000	0.597482
U00000033	0.311111	0.280000	0.196832
U00000034	0.255556	0.340000	1.000000
U00000035	0.200000	0.200000	0.207734
U00000036	0.222222	0.360000	1.000000
U00000037	0.200000	0.240000	0.101658
U00000038	0.244444	0.080000	0.000000
U00000039	0.322222	0.020000	0.000000
U00000040	0.188889	0.380000	1.000000
U00000041	0.166667	0.280000	0.339272
U00000042	0.288889	0.040000	0.000000
U00000043	0.188889	0.440000	1.000000
U00000044	0.300000	0.040000	0.000000
U00000045	0.255556	0.320000	1.000000
U00000046	0.255556	0.360000	1.000000
U00000047	0.177778	0.300000	0.265062
U00000048	0.311111	0.040000	0.000000
U00000049	0.166667	0.440000	1.000000
U00000050	0.322222	0.040000	0.000000
U00000051	0.466667	0.380000	0.941020
U00000052	0.188889	0.400000	1.000000
U00000053	0.222222	0.080000	0.034998
U00000054	0.466667	0.280000	0.175074
U00000055	0.500000	0.260000	0.325802
U00000056	0.388889	0.240000	0.477842
U00000057	0.277778	0.080000	0.000000
U00000058	0.211111	0.440000	1.000000
U00000059	0.300000	0.220000	0.008406
U00000060	0.200000	0.400000	1.000000
U00000061	0.277778	0.060000	0.098880
U00000062	0.222222	0.480000	1.000000
U00000063	0.166667	0.440000	1.000000
U00000064	0.244444	0.340000	1.000000
U00000065	0.311111	0.240000	0.285768
U00000066	0.222222	0.240000	0.416586
U00000067	0.188889	0.380000	1.000000
U00000068	0.266667	0.060000	0.000000
U00000069	0.666667	0.280000	0.425330
U00000070	0.311111	0.060000	0.042410
U00000071	0.277778	0.080000	0.000000
U00000072	0.444444	0.280000	0.806848
U00000073	0.222222	0.300000	0.503220
U00000074	0.466667	0.340000	0.171820
U00000075	0.311111	0.060000	0.000000
U00000076	0.088889	0.260000	0.137008
U00000077	0.266667	0.360000	1.000000
U00000078	0.322222	0.300000	0.243866
U00000079	0.200000	0.360000	1.000000
U00000080	0.266667	0.320000	0.824154
U00000081	0.266667	0.040000	0.000000
U00000082	0.588889	0.240000	0.272608
U00000083	0.488889	0.240000	0.270572
U00000084	0.277778	0.040000	0.000000
U00000085	0.244444	0.280000	0.195082
U00000086	0.233333	0.160000	0.015930
U00000087	0.288889	0.220000	0.438710
U00000088	0.255556	0.060000	0.000000
U00000089	0.288889	0.040000	0.000000
U00000090	0.433333	0.320000	0.446018
U00000091	0.277778	0.180000	0.282274
U00000092	0.300000	0.040000	0.000000
U00000093	0.222222	0.280000	0.017058
U00000094	0.311111	0.020000	0.000000
U00000095	0.444444	0.260000	0.491376
U00000096	0.222222	0.300000	0.994118
U00000097	0.288889	0.060000	0.000000
